Type,Technology,Name,ForkedFrom,LatestCommit,Watch,Star,Fork,Commits,Contributors
Arcade,Html-JavaScript,Super Mario Bros,https://github.com/martindrapeau/backbone-game-engine,06/01/2016,10,98,42,137,1
Arcade,Html-Css-JavaScript,Survivor,https://github.com/scottschiller/SURVIVOR,07/07/2018,10,102,31,54,1
Arcade,JavaScript,WPilot,https://github.com/jfd/wpilot,03/19/2013,13,160,39,335,4
Arcade,Html-Css-JavaScript,Zedinvaders,https://github.com/salvatorecapolupo/zedinvaders,02/05/2016,1,4,2,10,1
Fps,Html-JavaScript-C-C++-Shell-Makefile-Other,Banana Bread,https://github.com/kripken/BananaBread,05/17/2018,108,1.081,217,599,5
Rpg,JavaScript-Java-Shell,Diablo-js,https://github.com/mitallast/diablo-js,04/11/2014,82,759,143,59,1
Rpg,Html-Css-JavaScript-Other,Roguish,https://github.com/CamHenlin/Roguish,03/12/2015,13,46,15,206,3
Rpg,Html-Java-OpenEdge Abl,Game-off-2013,https://github.com/antionio/game-off-2013,04/09/2017,37,128,686,95,3
Mmorpg,JavaScript-Shell,Browser Quest,https://github.com/mozilla/BrowserQuest,04/10/2012,638,8.258,2.443,153,4
Strategy,Html-JavaScript-Css,Ancient Beast,https://github.com/FreezingMoon/AncientBeast,08/24/2019,42,439,153,3.449,49
Strategy,JavaScript,Command & Conquer,https://github.com/adityaravishankar/command-and-conquer,06/20/2013,35,664,136,15,2
Strategy,Css-JavaScript-Java-Python-Shell-Glsl-Other,Freeciv-web,https://github.com/freeciv/freeciv-web,09/10/2019,73,1.220,230,4.114,25
Strategy,Html-JavaScript-TypeScript,Hexa Battle,https://github.com/itajaja/hb,06/21/2017,6,32,9,94,2
Strategy,Css-JavaScript,Tower Defense,https://github.com/Casmo/tower-defense,10/05/2014,6,50,32,110,1
Racing,Html-Css-JavaScript-CoffeeScript-ApacheConf,HexGL,https://github.com/BKcore/HexGL,01/17/2016,94,1.050,476,56,5
Racing,Html-Css-JavaScript-CoffeeScript,Trigger Rally Online Edition,https://github.com/CodeArtemis/TriggerRally,02/26/2020,34,177,65,670,3
Sandbox,Html-JavaScript-Other,3d.city,https://github.com/lo-th/3d.city,09/07/2016,74,1.104,171,138,1
Sandbox,Html-Css-JavaScript,Cube Engine,https://github.com/Nurgak/Cube-engine,09/10/2017,17,126,37,34,2
Puzzle,Html-Css-JavaScript-Ruby,2048,https://github.com/gabrielecirulli/2048,10/27/2018,607,10.199,15.763,180,24
Puzzle,Html-Css-JavaScript-Python,A Dark Room,https://github.com/doublespeakgames/adarkroom,01/28/2019,265,4.529,1.190,765,110
Puzzle,Html-Css-JavaScript,Anagramica,https://github.com/binarymax/anagramica,09/11/2015,1,3,5,12,1
Puzzle,Html-JavaScript,Astry,https://github.com/wwwtyro/Astray,05/16/2017,13,283,145,12,3
Puzzle,Html-JavaScript,Beatrix,https://github.com/cxong/Beatrix,05/12/2018,3,12,6,47,1
Puzzle,Css-JavaScript,BitBot,https://github.com/sweetcarolinagames/BitBot,12/12/2013,7,40,587,448,4
Puzzle,Html-Css-JavaScript-Ruby-CoffeeScript-Shell,BlicblockJS,https://github.com/cheshire137/blicblock-js,04/14/2018,3,11,4,246,1
Puzzle,Html-Css-JavaScript,Blockrain.js,https://github.com/Aerolab/blockrain.js,08/06/2017,53,792,290,102,6
Puzzle,ActionScript,Clone Man,https://github.com/adhicl/game-off-2012,12/01/2012,1,20,1.433,17,4
Puzzle,Html-Css-JavaScript-TypeScript-Shell,Couch 2048,https://github.com/mvasilkov/glitch2016,09/12/2016,0,19,12,31,1
Puzzle,Html-Css-JavaScript-ApacheConf-PureScript,Cube-Composer,https://github.com/mvasilkov/glitch2016,08/22/2017,28,1.372,68,180,4
Puzzle,Html-JavaScript,Drunken Viking,https://github.com/cxong/DrunkenViking,05/12/2018,5,45,14,58,1
Puzzle,Html-JavaScript,Follow me! A Simon Clone,https://github.com/gamedolphin/follow_me_javascript_simon_clone,08/12/2015,2,3,4,4,2
Puzzle,ActionScript,For King,https://github.com/AD1337/ForKingGame,11/30/2012,4,29,1.433,16,4
Puzzle,JavaScript-CoffeeScript-Other,Genetic Drift,https://github.com/DancingBanana/genetic-drift,12/01/2012,1,12,1.433,175,4
Puzzle,JavaScript,Hex 2048,https://github.com/jeffhou/hex-2048,12/14/2017,2,4,2,21,1
Puzzle,Html-Css-JavaScript,Hexahedral,https://github.com/mminer/hexahedral,05/26/2018,2,11,7,59,1
Puzzle,Html-Css-JavaScript,Hextris,https://github.com/Hextris/hextris,05/10/2019,117,1.512,544,1.711,15
Puzzle,JavaScript,Infectors,https://github.com/satanas/infectors,12/18/2017,1,9,6,105,3
Puzzle,Html-JavaScript,Lost! Beneath the Surface,https://github.com/gamedolphin/Lost-Beneath-The-Surface,08/13/2015,1,1,6,7,1
Puzzle,Html-Css-JavaScript,Maze 3D,https://github.com/demonixis/Maze3D,12/02/2016,4,11,22,10,1
Puzzle,JavaScript,Monkey Rally,https://github.com/antila/ludum-dare-28,05/02/2016,6,17,9,33,2
Puzzle,Java-Other,Ned Et Les Maki,https://github.com/devnewton/nedetlesmaki,07/05/2015,4,18,5,1.224,3
Puzzle,Html-Css-JavaScript,Orbium,https://github.com/bni/orbium,11/10/2018,6,77,32,78,1
Puzzle,Html-Css-JavaScript,Parity,https://github.com/abejfehr/parity,10/04/2018,9,34,17,208,3
Puzzle,Html-JavaScript-Dockerfile,Pond,https://github.com/Zolmeister/pond,07/01/2019,3,42,16,105,2
Puzzle,Html-Css-Dart,Pop Pop Win,https://github.com/dart-lang/sample-pop_pop_win,09/15/2019,41,93,41,921,5
Puzzle,Html-Css-JavaScript-Smarty,Prism,https://github.com/Zolmeister/prism,03/27/2019,2,21,4,148,2
Puzzle,JavaScript,Push and Fork,https://github.com/Octocarina/game-off-2012,01/30/2013,4,33,1.433,356,5
Puzzle,Html-JavaScript,Shape Experiment,https://github.com/binarymax/shape,10/29/2017,1,0,2,8,1
Puzzle,JavaScript,Sliding Puzzle,https://github.com/gamedolphin/sliding_puzzle,04/19/2014,2,7,5,3,2
Puzzle,Html-Css-JavaScript,Sudoku JS,https://github.com/baruchel/sudoku-js,02/22/2017,1,12,11,27,1
Puzzle,Html-JavaScript,Swap,https://github.com/nmoroze/swap,02/16/2018,18,152,587,137,4
Puzzle,Css-JavaScript-Other,TransCube,https://github.com/jeroenverfallie/ggo13-transcube,12/06/2018,24,221,587,124,2
Puzzle,Html-Css-JavaScript-Other,Untrusted,https://github.com/AlexNisnevich/untrusted,08/16/2019,131,3.859,680,1.136,86
Puzzle,Html-JavaScript,Matching Pairs,https://github.com/gamedolphin/matching-pairs,12/27/2015,2,14,16,3,2
Puzzle,CoffeeScript,Zoko,https://github.com/lulea/game-off-2012,11/30/2012,6,83,1.433,110,5
Puzzle,Html-Css-JavaScript-CoffeeScript,Zop,https://github.com/Zolmeister/zop,05/29/2015,3,23,17,43,1
Clicker,Html-Css-JavaScript,Particle Clicker,https://github.com/particle-clicker/particle-clicker,03/01/2018,30,447,113,249,15
Point and Click,Html-Css-JavaScript,The House,https://github.com/arturkot/the-house-game,04/07/2019,8,74,15,33,2
Others,JavaScript,Beast,https://github.com/dominikwilkowski/beast.js,10/18/2016,1,17,2,29,1
Others,Html-Css-JavaScript,Binb,https://github.com/lpinca/binb,05/15/2019,5,196,38,274,6
Others,JavaScript,Dental Defender:Saga of the Candy Horde,https://github.com/cshepp/candyjam/,06/10/2016,2,22,16,3,1
Others,JavaScript-TypeScript,Descensus 2,https://github.com/TomWHall/Descensus2,06/08/2018,1,6,4,5,1
Others,Html-Dart-Other,Hauberk,https://github.com/munificent/hauberk,01/24/2019,91,1.233,145,899,6
Others,JavaScript-Other,Psiral,https://github.com/kenamick/psiral,11/14/2016,13,54,587,417,3
Others,Html-Css-JavaScript,CyberPong,https://github.com/georgegognadze/Cyber-Pong,09/27/2016,1,2,5,53,1
Others,Html-Css-JavaScript,Squirts,https://github.com/KrofDrakula/squirts,05/20/2016,5,15,10,54,3
Others,ActionScript,The Killer,https://github.com/JordanMagnuson/The-Killer,11/09/2015,1,8,5,32,1
Others,JavaScript-MatLab,Turkey Cooking Simulator,https://github.com/fernjager/game-off-2013,01/10/2015,7,15,587,90,4
